book,lex,sp,vs,vt,ctyp,ptyp,gloss
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,שׁם,subs,,,,NP,name
1_Chronicles,עיר,subs,,,,,town
1_Chronicles,עוית,nmpr,,,,PrNP,Avith
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,הדד,nmpr,,,,PrNP,Hadad
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,שׂמלה,nmpr,,,,PrNP,Samlah
1_Chronicles,מן,prep,,,,,from
1_Chronicles,משׂרקה,nmpr,,,,,Masrekah
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,שׂמלה,nmpr,,,,PrNP,Samlah
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,שׁאול,nmpr,,,,PrNP,Saul
1_Chronicles,מן,prep,,,,,from
1_Chronicles,רחבות,nmpr,,,,,Rehoboth
1_Chronicles,ה,art,,,,,the
1_Chronicles,נהר,subs,,,,,stream
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,שׁאול,nmpr,,,,PrNP,Saul
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,בעל חנן,nmpr,,,,PrNP,Baal-Hanan
1_Chronicles,בן,subs,,,,,son
1_Chronicles,עכבור,nmpr,,,,,Acbor
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מות,verb,qal,wayq,,VP,die
1_Chronicles,בעל חנן,nmpr,,,,PrNP,Baal-Hanan
1_Chronicles,ו,conj,,,WayX,CP,and
1_Chronicles,מלך,verb,qal,wayq,,VP,be king
1_Chronicles,תחת,subs,,,,PP,under part
1_Chronicles,הדד,nmpr,,,,PrNP,Hadad
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,שׁם,subs,,,,NP,name
1_Chronicles,עיר,subs,,,,,town
1_Chronicles,פעי,nmpr,,,,PrNP,Pai
