book,lex,sp,vs,vt,ctyp,cnode,ptyp,gloss,speaker,ttype,clausespeaker,clausettype
Esther1:5,גנה,subs,,,,,,garden,author,description,,
Esther1:5,ביתן,subs,,,,,,palace,author,description,,
Esther1:5,ה,art,,,,,,the,author,description,,
Esther1:5,מלך,subs,,,,,,king,author,description,,
Esther1:6,חור,subs,,,Ptcp,505289,NP,linen,author,description,author,description
Esther1:6,כרפס,subs,,,,,,linen,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,תכלת,subs,,,,,,purple wool,author,description,,
Esther1:6,אחז,verb,qal,ptcp,,,VP,seize,author,description,,
Esther1:6,ב,prep,,,,,PP,in,author,description,,
Esther1:6,חבל,subs,,,,,,cord,author,description,,
Esther1:6,בוץ,subs,,,,,,byssus cloth,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,ארגמן,subs,,,,,,purple-wool,author,description,,
Esther1:6,על,prep,,,,,PP,upon,author,description,,
Esther1:6,גליל,subs,,,,,,pivot,author,description,,
Esther1:6,כסף,subs,,,,,,silver,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,עמוד,subs,,,,,,pillar,author,description,,
Esther1:6,שׁשׁ,subs,,,,,,alabaster,author,description,,
Esther1:6,מטה,subs,,,NmCl,505290,NP,couch,author,description,author,description
Esther1:6,זהב,subs,,,,,,gold,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,כסף,subs,,,,,,silver,author,description,,
Esther1:6,על,prep,,,,,PP,upon,author,description,,
Esther1:6,רצפה,subs,,,,,,pavement,author,description,,
Esther1:6,בהט,subs,,,,,,<uncertain>,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,שׁשׁ,subs,,,,,,alabaster,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,דר,subs,,,,,,pavement,author,description,,
Esther1:6,ו,conj,,,,,,and,author,description,,
Esther1:6,סחרת,subs,,,,,,pavement,author,description,,
Esther1:7,ו,conj,,,InfC,505291,CP,and,author,description,author,description
Esther1:7,שׁקה,verb,hif,infc,,,VP,give drink,author,description,,
Esther1:7,ב,prep,,,,,PP,in,author,description,,
Esther1:7,כלי,subs,,,,,,tool,author,description,,
Esther1:7,זהב,subs,,,,,,gold,author,description,,
Esther1:7,ו,conj,,,Ptcp,505292,CP,and,author,description,author,description
Esther1:7,כלי,subs,,,,,NP,tool,author,description,,
Esther1:7,מן,prep,,,,,PP,from,author,description,,
Esther1:7,כלי,subs,,,,,,tool,author,description,,
Esther1:7,שׁנה,verb,qal,ptca,,,VP,change,author,description,,
Esther1:7,ו,conj,,,AjCl,505293,CP,and,author,description,author,description
Esther1:7,יין,subs,,,,,NP,wine,author,description,,
Esther1:7,מלכות,subs,,,,,,kingship,author,description,,
Esther1:7,רב,adjv,,,,,AdjP,much,author,description,,
Esther1:7,כ,prep,,,,,PP,as,author,description,,
Esther1:7,יד,subs,,,,,,hand,author,description,,
Esther1:7,ה,art,,,,,,the,author,description,,
Esther1:7,מלך,subs,,,,,,king,author,description,,
Esther1:8,ו,conj,,,NmCl,505294,CP,and,author,description,author,description
Esther1:8,ה,art,,,,,NP,the,author,description,,
Esther1:8,שׁתיה,subs,,,,,,drinking,author,description,,
Esther1:8,כ,prep,,,,,PP,as,author,description,,
Esther1:8,ה,art,,,,,,the,author,description,,
Esther1:8,דת,subs,,,,,,orders,author,description,,
Esther1:8,אין,subs,,,NmCl,505295,NegP,<NEG>,author,description,author,description
Esther1:8,אנס,verb,qal,ptca,,,NP,compel,author,description,,
Esther1:8,כי,conj,,,xQtX,505296,CP,that,author,description,author,description
Esther1:8,כן,advb,,,,,AdvP,thus,author,description,,
Esther1:8,יסד,verb,piel,perf,,,VP,found,author,description,,
Esther1:8,ה,art,,,,,NP,the,author,description,,
Esther1:8,מלך,subs,,,,,,king,author,description,,
Esther1:8,על,prep,,,,,PP,upon,author,description,,
Esther1:8,כל,subs,,,,,,whole,author,description,,
Esther1:8,רב,subs,,,,,,chief,author,description,,
Esther1:8,בית,subs,,,,,,house,author,description,,
Esther1:8,ל,prep,,,InfC,505297,VP,to,author,description,author,description
Esther1:8,עשׂה,verb,qal,infc,,,,make,author,description,,
Esther1:8,כ,prep,,,,,PP,as,author,description,,
Esther1:8,רצון,subs,,,,,,pleasure,author,description,,
Esther1:8,אישׁ,subs,,,,,,man,author,description,,
Esther1:8,ו,conj,,,,,,and,author,description,,
Esther1:8,אישׁ,subs,,,,,,man,author,description,,
Esther1:9,גם,advb,,,XQtl,505298,PrNP,even,author,description,author,description
Esther1:9,ושׁתי,nmpr,,,,,,Vashti,author,description,,
Esther1:9,ה,art,,,,,,the,author,description,,
Esther1:9,מלכה,subs,,,,,,queen,author,description,,
Esther1:9,עשׂה,verb,qal,perf,,,VP,make,author,description,,
Esther1:9,משׁתה,subs,,,,,NP,drinking,author,description,,
Esther1:9,אשׁה,subs,,,,,,woman,author,description,,
Esther1:9,בית,subs,,,,,NP,house,author,description,,
Esther1:9,ה,art,,,,,,the,author,description,,
Esther1:9,מלכות,subs,,,,,,kingship,author,description,,
Esther1:9,אשׁר,conj,,,NmCl,505299,CP,<relative>,author,description,author,description
Esther1:9,ל,prep,,,,,PP,to,author,description,,
Esther1:9,ה,art,,,,,,the,author,description,,
Esther1:9,מלך,subs,,,,,,king,author,description,,
Esther1:9,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,author,description,,
Esther1:10,ב,prep,,,xQt0,505300,PP,in,author,description,author,description
Esther1:10,ה,art,,,,,,the,author,description,,
Esther1:10,יום,subs,,,,,,day,author,description,,
Esther1:10,ה,art,,,,,,the,author,description,,
Esther1:10,שׁביעי,adjv,,,,,,seventh,author,description,,
Esther1:10,כ,prep,,,InfC,505301,VP,as,author,description,author,description
Esther1:10,טוב,verb,qal,infc,,,,be good,author,description,,
Esther1:10,לב,subs,,,,,NP,heart,author,description,,
